time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
21.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6405265333438667e-13,-5.871409509767979e-25,-7.149795169903134e-12,1.6381725717140555e-13,-1.9361949305306152e-25,-2.0312640458541864e-12,2.9298986708796043e-07,5.643336803445727e-07,-1.5808185088325939e-12,,,,,,
21.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6483428188110305e-13,-5.927448763970251e-25,-7.183858328875057e-12,1.6459888838753661e-13,-1.9521128495254977e-25,-2.0392576516314875e-12,2.929898678695917e-07,5.643336803445727e-07,-1.588812114609895e-12,,,,,,
21.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6561593477577664e-13,-5.9837560125870405e-25,-7.2179215119872155e-12,1.6538054021891413e-13,-1.968092494373524e-25,-2.0472512574087887e-12,2.929898686512435e-07,5.643336803445727e-07,-1.5968057203871961e-12,,,,,,
21.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6639757206070184e-13,-6.04032837627063e-25,-7.251984729432525e-12,1.6616217820055785e-13,-1.9841335141077632e-25,-2.0552448631860898e-12,2.9298986943288146e-07,5.643336803445727e-07,-1.6047993261644972e-12,,,,,,
21.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6717916970183508e-13,-6.097164110320627e-25,-7.286047912101628e-12,1.669437783629318e-13,-2.0002348160297397e-25,-2.062794379753541e-12,2.9298987021448164e-07,5.643336803445727e-07,-1.6123488427319483e-12,,,,,,
21.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.679608088841642e-13,-6.1542691225673665e-25,-7.320111108779703e-12,1.6772541675771208e-13,-2.0163985322237449e-25,-2.070787985530842e-12,2.9298987099612005e-07,5.643336803445727e-07,-1.6203424485092494e-12,,,,,,
21.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6874242582113264e-13,-6.2116387511399e-25,-7.354174295556171e-12,1.6850703515102853e-13,-2.0326239710889433e-25,-2.078781591308143e-12,2.9298987177773844e-07,5.643336803445727e-07,-1.6283360542865506e-12,,,,,,
21.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6952403282230788e-13,-6.269273895241962e-25,-7.388237489908326e-12,1.6928864213716124e-13,-2.048910202060372e-25,-2.086331107875594e-12,2.929898725593454e-07,5.643336803445727e-07,-1.6358855708540016e-12,,,,,,
21.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7030565378318931e-13,-6.327176314995687e-25,-7.422300657461725e-12,1.7007026190773002e-13,-2.0652579440636476e-25,-2.0943247136528953e-12,2.9298987334096517e-07,5.643336803445727e-07,-1.6438791766313027e-12,,,,,,
21.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.710872791583606e-13,-6.3853453068295435e-25,-7.456363844727705e-12,1.7085188675927375e-13,-2.0816672940871994e-25,-2.1023183194301964e-12,2.9298987412259e-07,5.643336803445727e-07,-1.6518727824086039e-12,,,,,,
